"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 20, 2021","75.75","77.50","78.50","74.40","1.06M","-2.32%"
"Jul 19, 2021","77.55","79.00","79.00","77.10","395.09K","-1.46%"
"Jul 16, 2021","78.70","78.95","79.40","78.35","202.87K","-0.32%"
"Jul 15, 2021","78.95","79.10","80.70","78.30","393.90K","0.32%"
"Jul 14, 2021","78.70","80.00","80.00","78.50","201.77K","-0.32%"
"Jul 13, 2021","78.95","80.10","80.25","78.65","418.12K","-0.50%"
"Jul 12, 2021","79.35","81.50","81.90","78.80","1.02M","-1.67%"
"Jul 09, 2021","80.70","82.00","82.55","80.30","620.59K","-1.34%"
"Jul 08, 2021","81.80","78.00","82.40","78.00","3.03M","4.40%"
"Jul 07, 2021","78.35","79.00","79.60","78.00","469.77K","-1.20%"
"Jul 06, 2021","79.30","81.15","82.00","79.00","1.12M","0.25%"
"Jul 05, 2021","79.10","78.50","80.10","78.05","553.14K","1.35%"
"Jul 02, 2021","78.05","80.00","80.30","77.80","444.37K","-2.44%"
"Jul 01, 2021","80.00","81.00","81.85","79.45","709.92K","-1.23%"
"Jun 30, 2021","81.00","83.20","83.90","80.15","1.02M","-1.46%"
"Jun 29, 2021","82.20","82.00","82.65","81.05","1.61M","3.20%"
"Jun 28, 2021","79.65","78.70","80.40","77.75","358.56K","2.12%"
"Jun 25, 2021","78.00","77.95","79.20","77.10","602.45K","0.65%"
"Jun 24, 2021","77.50","78.85","79.05","77.10","220.92K","-1.40%"
"Jun 23, 2021","78.60","80.95","81.20","78.15","511.02K","-2.36%"
"Jun 22, 2021","80.50","77.15","81.85","76.85","1.49M","4.75%"
"Jun 21, 2021","76.85","75.00","77.55","67.95","714.77K","0.92%"
"Jun 18, 2021","76.15","77.00","77.85","73.70","465.56K","-0.98%"
"Jun 17, 2021","76.90","76.95","78.25","76.55","755.10K","-1.03%"
"Jun 16, 2021","77.70","78.55","79.10","77.50","597.42K","-1.15%"
"Jun 15, 2021","78.60","78.60","79.75","78.40","551.45K","0.00%"
"Jun 14, 2021","78.60","80.00","80.35","77.10","789.33K","-1.38%"
"Jun 11, 2021","79.70","80.05","81.20","79.00","357.79K","-0.38%"
"Jun 10, 2021","80.00","81.00","81.00","79.40","328.37K","0.50%"
"Jun 09, 2021","79.60","79.90","82.95","78.60","1.18M","0.13%"
"Jun 08, 2021","79.50","80.75","81.50","78.30","945.70K","-1.43%"
"Jun 07, 2021","80.65","80.00","81.65","79.70","924.03K","1.26%"
"Jun 04, 2021","79.65","78.00","80.95","77.70","975.78K","2.31%"
"Jun 03, 2021","77.85","76.70","78.60","76.35","658.15K","2.43%"
"Jun 02, 2021","76.00","76.20","77.40","74.65","402.97K","-0.26%"
"Jun 01, 2021","76.20","80.00","80.00","75.85","458.99K","-4.27%"
"May 31, 2021","79.60","80.70","82.05","78.70","451.67K","0.57%"
"May 28, 2021","79.15","78.10","80.75","77.65","457.04K","0.76%"
"May 27, 2021","78.55","81.70","81.85","77.55","847.15K","-3.08%"
"May 26, 2021","81.05","82.95","83.25","80.70","524.90K","-1.46%"
"May 25, 2021","82.25","81.95","83.90","80.10","1.14M","1.29%"
"May 24, 2021","81.20","77.95","82.20","77.10","1.24M","6.49%"
"May 21, 2021","76.25","74.75","77.20","74.75","434.66K","1.87%"
"May 20, 2021","74.85","75.25","76.55","74.35","252.90K","-0.20%"
"May 19, 2021","75.00","76.40","78.45","74.30","969.65K","-1.83%"
"May 18, 2021","76.40","72.00","77.40","71.35","906.70K","8.68%"
"May 17, 2021","70.30","71.00","71.35","69.70","388.87K","0.57%"
"May 14, 2021","69.90","72.00","74.00","68.35","448.88K","-2.71%"
"May 12, 2021","71.85","70.85","73.35","70.30","818.11K","3.16%"
"May 11, 2021","69.65","63.60","70.15","62.80","1.79M","9.51%"
"May 10, 2021","63.60","62.85","63.80","62.25","446.92K","1.60%"
"May 07, 2021","62.60","63.35","63.35","62.45","427.17K","-0.32%"
"May 06, 2021","62.80","63.95","63.95","62.25","105.74K","-0.16%"
"May 05, 2021","62.90","61.60","63.55","61.25","320.68K","2.11%"
"May 04, 2021","61.60","61.45","63.25","61.10","512.26K","0.24%"
"May 03, 2021","61.45","62.25","62.50","60.75","454.56K","-2.31%"
"Apr 30, 2021","62.90","63.70","64.00","62.60","343.73K","-1.64%"
"Apr 29, 2021","63.95","66.80","66.80","63.55","196.84K","-1.24%"
"Apr 28, 2021","64.75","65.70","65.90","63.75","298.97K","0.00%"
"Apr 27, 2021","64.75","63.40","65.00","62.55","374.34K","4.44%"
"Apr 26, 2021","62.00","61.45","63.60","61.25","562.23K","1.89%"
"Apr 23, 2021","60.85","60.00","61.30","59.65","311.24K","1.42%"
"Apr 22, 2021","60.00","61.00","61.00","59.40","421.56K","-2.36%"
"Apr 20, 2021","61.45","61.00","63.30","60.55","650.13K","0.24%"
"Apr 19, 2021","61.30","64.00","64.00","61.00","602.49K","-6.84%"
"Apr 16, 2021","65.80","68.00","68.50","64.10","522.54K","-1.35%"
"Apr 15, 2021","66.70","66.55","68.20","65.60","421.84K","-2.27%"
"Apr 13, 2021","68.25","65.10","70.30","65.10","730.99K","2.86%"
"Apr 12, 2021","66.35","67.45","68.80","65.25","1.57M","-6.68%"
"Apr 09, 2021","71.10","71.00","71.50","70.20","262.59K","-0.14%"
"Apr 08, 2021","71.20","71.90","72.40","70.70","567.25K","-0.97%"
"Apr 07, 2021","71.90","69.05","72.35","68.75","561.09K","3.60%"
"Apr 06, 2021","69.40","68.65","69.80","68.10","344.52K","0.87%"
"Apr 05, 2021","68.80","71.90","71.90","68.05","373.43K","-4.64%"
"Apr 01, 2021","72.15","70.55","72.60","69.80","356.20K","3.81%"
"Mar 31, 2021","69.50","69.95","71.15","68.75","413.39K","1.68%"
"Mar 30, 2021","68.35","70.20","70.65","68.05","403.96K","-1.30%"
"Mar 26, 2021","69.25","69.00","70.70","69.00","998.11K","0.65%"
"Mar 25, 2021","68.80","71.85","72.50","68.40","1.13M","-4.24%"
