"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 05, 2021","1,742.00","1,770.00","1,787.65","1,733.00","1.06M","-3.16%"
"Mar 04, 2021","1,798.90","1,751.00","1,819.45","1,736.50","1.73M","0.91%"
"Mar 03, 2021","1,782.60","1,704.00","1,823.85","1,700.25","2.46M","5.39%"
"Mar 02, 2021","1,691.40","1,675.00","1,698.90","1,667.00","907.28K","1.00%"
"Mar 01, 2021","1,674.70","1,621.00","1,685.00","1,620.05","1.09M","3.38%"
"Feb 26, 2021","1,619.95","1,638.00","1,654.55","1,606.30","1.16M","-2.42%"
"Feb 25, 2021","1,660.20","1,621.55","1,669.95","1,619.55","1.34M","2.42%"
"Feb 24, 2021","1,621.00","1,531.00","1,635.00","1,531.00","1.58M","5.92%"
"Feb 23, 2021","1,530.45","1,511.00","1,541.20","1,506.05","1.06M","1.20%"
"Feb 22, 2021","1,512.25","1,565.05","1,565.80","1,502.30","1.07M","-3.42%"
"Feb 19, 2021","1,565.80","1,595.00","1,608.45","1,545.05","855.39K","-1.67%"
"Feb 18, 2021","1,592.40","1,613.00","1,621.95","1,578.60","1.11M","-1.10%"
"Feb 17, 2021","1,610.05","1,609.45","1,628.85","1,577.20","1.19M","-0.02%"
"Feb 16, 2021","1,610.45","1,646.55","1,646.55","1,596.15","929.04K","-1.95%"
"Feb 15, 2021","1,642.55","1,649.00","1,657.50","1,632.50","525.62K","-0.04%"
"Feb 12, 2021","1,643.15","1,695.00","1,701.10","1,616.00","2.40M","0.79%"
"Feb 11, 2021","1,630.35","1,630.00","1,648.95","1,604.05","828.47K","0.41%"
"Feb 10, 2021","1,623.65","1,681.90","1,691.15","1,615.00","1.66M","-2.31%"
"Feb 09, 2021","1,662.05","1,700.00","1,708.00","1,652.70","614.35K","-2.00%"
"Feb 08, 2021","1,695.95","1,682.00","1,743.90","1,680.85","1.23M","0.90%"
"Feb 05, 2021","1,680.85","1,692.85","1,732.40","1,667.50","1.72M","0.51%"
"Feb 04, 2021","1,672.35","1,615.00","1,680.00","1,605.55","1.16M","3.12%"
"Feb 03, 2021","1,621.70","1,645.90","1,663.85","1,618.05","729.64K","-0.51%"
"Feb 02, 2021","1,630.00","1,653.65","1,671.55","1,597.20","1.06M","-0.61%"
"Feb 01, 2021","1,640.00","1,561.00","1,660.00","1,557.25","1.65M","5.96%"
"Jan 29, 2021","1,547.75","1,560.00","1,644.20","1,534.00","2.56M","-2.83%"
"Jan 28, 2021","1,592.80","1,589.00","1,624.40","1,560.00","1.30M","0.17%"
"Jan 27, 2021","1,590.15","1,595.00","1,627.45","1,574.65","1.28M","0.16%"
"Jan 25, 2021","1,587.55","1,658.20","1,664.40","1,577.55","753.45K","-3.33%"
"Jan 22, 2021","1,642.30","1,684.40","1,684.40","1,634.05","682.97K","-2.10%"
"Jan 21, 2021","1,677.55","1,680.00","1,726.00","1,665.45","1.70M","0.67%"
"Jan 20, 2021","1,666.40","1,663.85","1,674.75","1,642.25","880.29K","0.10%"
"Jan 19, 2021","1,664.75","1,596.00","1,675.00","1,596.00","1.83M","4.44%"
"Jan 18, 2021","1,594.05","1,627.00","1,627.00","1,570.60","842.49K","-2.27%"
"Jan 15, 2021","1,631.05","1,660.00","1,664.40","1,620.90","657.71K","-1.66%"
"Jan 14, 2021","1,658.60","1,640.00","1,667.95","1,622.45","761.00K","1.52%"
"Jan 13, 2021","1,633.80","1,695.00","1,695.00","1,621.10","1.31M","-2.75%"
"Jan 12, 2021","1,680.00","1,702.00","1,727.00","1,676.55","1.04M","-1.33%"
"Jan 11, 2021","1,702.65","1,742.75","1,751.00","1,693.00","808.13K","-1.71%"
"Jan 08, 2021","1,732.30","1,770.00","1,774.90","1,723.00","946.90K","-1.63%"
"Jan 07, 2021","1,761.05","1,739.00","1,779.00","1,731.50","1.51M","1.65%"
"Jan 06, 2021","1,732.50","1,731.45","1,743.00","1,708.85","1.04M","1.04%"
"Jan 05, 2021","1,714.75","1,732.00","1,733.95","1,702.50","862.66K","-1.73%"
"Jan 04, 2021","1,744.95","1,722.00","1,751.00","1,718.15","864.64K","1.84%"
"Jan 01, 2021","1,713.50","1,719.00","1,723.85","1,692.95","1.00M","-0.57%"
